"[710.0, 2152.0, 4.0]"
"[110.00000000000001, 2000.0, 3.0]"
"[190.0, 2630.0, 4.0]"
"[88.0, 1490.0, 3.0]"
"[280.0, 2588.0, 3.0]"
"[170.0, 1508.0, 2.0]"
"[249.00000000000003, 24943500.0, 4.0]"
"[150.0, 10401418.0, 2.0]"
"[204.99999999999997, 1247.0, 3.0]"
"[650.0, 2600.0, 4.0]"
"[200.0, 40605130.0, 5.0]"
"[270.0, 2750.0, 4.0]"
"[173.0, 18002050.0, 3.0]"
"[84.81, 18152075.0, 3.0]"
"[80.62, 17251970.0, 3.0]"
"[114.99999999999999, 25053210.0, 4.0]"
"[125.0, 777.0, 2.0]"
"[550.0, 33434153.0, 4.0]"
"[350.0, 5826.0, 5.0]"
"[156.0, 2835.0, 4.0]"
"[151.0, 2511.0, 4.0]"
"[154.0, 1039.0, 3.0]"
"[197.0, 2890.0, 4.0]"
"[181.0, 24484455.0, 4.0]"
"[9268.0, 16852400.0, 3.0]"
"[75.07, 1365.0, 2.0]"
"[40.32, 1152.0, 3.0]"
"[192.0, 3198.0, 4.0]"
"[157.0, 25792598.0, 3.0]"
"[270.0, 2430.0, 4.0]"
"[400.0, 4627.0, 4.0]"
"[31.5, 1100.0, 2.0]"
"[407.0, 15662340.0, 3.0]"
"[401.0, 4518.0, 4.0]"
"[440.00000000000006, 25209900.0, 4.0]"
"[275.0, 1800.0, 3.0]"
"[400.0, 4518.0, 4.0]"
"[385.0, 3680.0, 4.0]"
"[111.00000000000001, 13901801.0, 4.0]"
"[300.0, 39954874.0, 4.0]"
"[248.0, 33023312.0, 3.0]"
"[450.0, 3450.0, 4.0]"
"[245.00000000000003, 1950.0, 3.0]"
"[31.21, 11351435.0, 2.0]"
"[445.0, 27004500.0, 4.0]"
"[1350.0, 9000.0, 5.0]"
"[374.0, 1872.0, 3.0]"
"[1332.0, 7200.0, 5.0]"
"[71.6, 23702500.0, 4.0]"
"[32.43, 11502370.0, 3.0]"
"[306.0, 1494.0, 3.0]"
"[401.99999999999994, 21603600.0, 4.0]"
"[9990.0, 13502070.0, 3.0]"
"[499.0, 5940.0, 5.0]"
"[-1, -1, -1]"
"[-1, -1, -1]"
"[-1, -1, -1]"
"[-1, -1, -1]"
"[240.0, 2700.0, 4.0]"
"[-1, 559630.0, 2.0]"
"[391.0, 4518.0, 4.0]"
"[275.0, 3762.0, 4.0]"
"[40.18, 14001750.0, 3.0]"
"[8906.0, 11201259.0, 3.0]"
"[285.0, 2700.0, 4.0]"
"[385.0, 4518.0, 4.0]"
"[250.0, 2700.0, 4.0]"
"[270.0, 2700.0, 4.0]"
"[82.5, 2660.0, 4.0]"
"[233.0, 2150.0, 4.0]"
"[375.0, 4500.0, 4.0]"
"[310.0, 3618.0, 4.0]"
"[400.0, 4519.0, 5.0]"
"[300.0, 3762.0, 4.0]"
"[171.0, 20892726.0, 4.0]"
"[400.0, 4518.0, 4.0]"
"[155.0, 2946.0, 5.0]"
"[127.0, 1635.0, 3.0]"
"[99.0, 1270.0, 2.0]"
"[440.00000000000006, 3618.0, 4.0]"
"[504.0, 50367330.0, 5.0]"
"[145.0, 20103156.0, 4.0]"
"[315.0, 42006300.0, 4.0]"
"[-1, -1, -1]"
"[-1, -1, -1]"
"[-1, -1, -1]"
"[-1, -1, -1]"
"[522.0, 4750.0, 4.0]"
"[1500.0, 1000010500.0, 6.0]"
"[900.0, 60006050.0, 4.0]"
"[114.99999999999999, 849890.0, 2.0]"
"[170.0, 13221794.0, 3.0]"
"[268.0, 16083000.0, 3.0]"
"[268.0, 16084200.0, 4.0]"
"[351.0, 3904.0, 5.0]"
"[188.0, 20852570.0, 4.0]"
"[172.0, 17592150.0, 3.0]"
"[305.0, 3115.0, 4.0]"
"[353.0, 1440.0, 3.0]"
"[42.0, 934.0, -1]"
"[350.0, 3153.0, 3.0]"
"[250.0, 1950.0, 4.0]"
"[405.0, 4518.0, 4.0]"
"[127.0, 15531976.0, 3.0]"
"[275.0, 2700.0, 4.0]"
"[350.0, 31473854.0, 4.0]"
"[22.45, 548.0, 2.0]"
"[265.0, 2700.0, 4.0]"
"[135.0, 21002200.0, 4.0]"
"[37.13, 11251220.0, 2.0]"
"[45.54, 13802000.0, 3.0]"
"[37.13, 11251220.0, 2.0]"
"[-1, -1, -1]"
"[-1, -1, -1]"
"[-1, -1, -1]"
"[-1, -1, -1]"
"[45.54, 13802000.0, 3.0]"
"[451.0, 4518.0, 4.0]"
"[350.0, 3618.0, 4.0]"
"[78.0, 952.0, 2.0]"
"[202.99999999999997, 18482318.0, 3.0]"
"[425.0, 5000.0, 5.0]"
